,Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
3,юр. лицо,списание средств,4454.76,наличный,Гомель,МаксБанк-PFSO-675,05-03-2011,08:20:04,недостаточно средств,да,256.44
7,физ. лицо,списание средств,50.26,безналичный,Могилев,Беларусбанк-UREM-091,01-12-2018,23:32:03,успешно,да,3.9
8,физ. лицо,списание средств,1532.18,безналичный,Могилев,Приорбанк-SEDN-602,15-06-2016,02:52:10,успешно,да,54.9
11,физ. лицо,списание средств,4267.51,безналичный,Витебск,БелАгропромбанк-BTTT-929,13-04-2018,06:59:59,успешно,да,107.86
15,юр. лицо,списание средств,790.67,безналичный,Минск,БелАгропромбанк-LPSD-784,06-03-2014,18:26:21,недостаточно средств,да,53.32
25,юр. лицо,списание средств,4492.75,наличный,Гродно,Беларусбанк-VYFM-526,29-08-2020,15:05:27,успешно,да,222.28
27,физ. лицо,списание средств,2501.77,безналичный,Гомель,Беларусбанк-RJPF-180,17-11-2012,06:01:35,недостаточно средств,да,250.0
30,физ. лицо,списание средств,3012.19,безналичный,Гродно,МаксБанк-BOZD-543,16-09-2015,10:47:51,успешно,да,272.55
33,юр. лицо,списание средств,1513.66,наличный,Могилев,Приорбанк-FXAW-843,17-09-2024,04:37:59,недостаточно средств,да,138.11
34,физ. лицо,списание средств,758.87,безналичный,Брест,МаксБанк-SORC-609,22-03-2005,21:28:55,недостаточно средств,да,48.77
37,физ. лицо,списание средств,4704.65,наличный,Витебск,Беларусбанк-WEVW-387,30-05-2022,11:40:29,неправильный ввод пин-кода,да,329.2
42,юр. лицо,списание средств,4488.54,безналичный,Минск,Приорбанк-WMKY-042,15-04-2009,08:23:01,успешно,да,418.51
44,физ. лицо,списание средств,759.97,наличный,Гродно,Белинвестбанк-EEQR-467,03-02-2018,00:55:26,успешно,да,39.56
47,юр. лицо,списание средств,4027.26,наличный,Гродно,БелАгропромбанк-QYTA-413,26-03-2013,13:49:24,недостаточно средств,да,247.29
48,физ. лицо,списание средств,4038.11,наличный,Витебск,МаксБанк-RWPN-575,16-08-2021,18:08:17,недостаточно средств,да,300.01
56,физ. лицо,списание средств,4347.4,наличный,Гродно,Приорбанк-TFXM-231,14-04-2016,19:55:25,успешно,да,369.86
59,физ. лицо,списание средств,731.41,наличный,Минск,МаксБанк-VUFW-614,14-04-2002,23:54:15,недостаточно средств,да,43.79
61,физ. лицо,списание средств,2309.29,наличный,Брест,Белинвестбанк-GCQV-104,12-10-2016,06:47:35,недостаточно средств,да,128.99
62,физ. лицо,списание средств,268.13,безналичный,Витебск,БелАгропромбанк-PSUO-377,09-02-2015,22:38:59,недостаточно средств,да,26.59
65,физ. лицо,списание средств,3107.66,безналичный,Витебск,Беларусбанк-TIYH-981,08-05-2023,03:58:28,успешно,да,236.59
66,юр. лицо,списание средств,3173.56,безналичный,Витебск,Приорбанк-ETRG-284,07-06-2024,16:09:26,недостаточно средств,да,316.68
74,физ. лицо,списание средств,1372.12,наличный,Брест,Приорбанк-DWFQ-459,26-07-2018,18:05:04,неправильный ввод пин-кода,да,47.01
75,юр. лицо,списание средств,453.06,наличный,Гомель,Белинвестбанк-XONJ-719,18-02-2011,05:11:45,недостаточно средств,да,43.51
78,юр. лицо,списание средств,482.35,безналичный,Могилев,МаксБанк-GDCA-013,16-08-2001,22:42:37,неправильный ввод пин-кода,да,47.72
81,физ. лицо,списание средств,1438.53,наличный,Витебск,Приорбанк-RCRV-402,21-03-2013,06:35:58,неправильный ввод пин-кода,да,96.98
87,физ. лицо,списание средств,3376.61,безналичный,Гродно,БелАгропромбанк-HRWV-422,25-11-2001,23:03:01,недостаточно средств,да,52.07
94,юр. лицо,списание средств,2767.7,безналичный,Минск,МаксБанк-UESE-364,04-10-2024,00:39:02,успешно,да,87.02
96,физ. лицо,списание средств,4409.19,наличный,Гродно,Беларусбанк-ZOEQ-385,08-08-2011,06:18:08,неправильный ввод пин-кода,да,92.77
101,физ. лицо,списание средств,3700.59,безналичный,Гомель,Приорбанк-TYWT-280,19-12-2003,17:23:10,успешно,да,71.82
103,юр. лицо,списание средств,2281.72,наличный,Витебск,Белинвестбанк-QEJA-234,27-11-2021,02:53:51,неправильный ввод пин-кода,да,214.71
114,физ. лицо,списание средств,4702.39,безналичный,Витебск,БелАгропромбанк-QKGC-852,13-05-2015,22:20:51,неправильный ввод пин-кода,да,218.81
116,юр. лицо,списание средств,2687.66,безналичный,Гродно,Приорбанк-NINZ-463,27-08-2005,09:01:09,недостаточно средств,да,74.86
119,юр. лицо,списание средств,971.84,наличный,Могилев,МаксБанк-FVAS-988,11-01-2017,08:51:14,недостаточно средств,да,43.99
123,физ. лицо,списание средств,125.92,безналичный,Гродно,МаксБанк-IIQR-494,19-11-2007,13:53:47,успешно,да,3.56
133,юр. лицо,списание средств,4730.18,наличный,Гомель,Белинвестбанк-HROV-150,16-10-2024,23:06:35,неправильный ввод пин-кода,да,52.73
135,физ. лицо,списание средств,1779.47,наличный,Могилев,Беларусбанк-AYNN-118,24-09-2020,05:57:31,неправильный ввод пин-кода,да,165.89
136,юр. лицо,списание средств,2468.0,безналичный,Витебск,Приорбанк-OICQ-603,27-03-2002,18:19:09,успешно,да,206.85
139,физ. лицо,списание средств,613.01,безналичный,Гродно,БелАгропромбанк-SHZN-954,09-02-2011,12:41:46,успешно,да,28.0
146,юр. лицо,списание средств,3776.58,наличный,Могилев,БелАгропромбанк-EOVY-389,26-09-2010,08:44:44,недостаточно средств,да,214.15
147,юр. лицо,списание средств,2179.62,наличный,Гродно,Белинвестбанк-ZKHV-732,15-08-2002,01:33:14,успешно,да,119.45
149,физ. лицо,списание средств,4558.69,наличный,Витебск,Беларусбанк-KDOF-288,22-09-2016,04:52:10,неправильный ввод пин-кода,да,102.32
152,юр. лицо,списание средств,486.7,наличный,Могилев,Беларусбанк-EUGC-622,09-01-2018,17:10:54,неправильный ввод пин-кода,да,17.78
156,физ. лицо,списание средств,3954.1,безналичный,Могилев,Беларусбанк-PCCX-566,18-07-2001,14:19:15,успешно,да,336.82
157,физ. лицо,списание средств,2118.27,безналичный,Минск,Приорбанк-MGDK-312,14-04-2023,12:03:22,неправильный ввод пин-кода,да,177.23
158,физ. лицо,списание средств,1350.05,безналичный,Гомель,МаксБанк-XBOD-444,21-12-2009,03:24:57,успешно,да,117.13
163,юр. лицо,списание средств,1266.74,наличный,Могилев,Беларусбанк-FWQK-739,12-09-2001,14:22:23,недостаточно средств,да,37.13
168,юр. лицо,списание средств,522.54,наличный,Гродно,БелАгропромбанк-UJEK-146,07-06-2008,06:37:42,успешно,да,13.64
178,физ. лицо,списание средств,3603.86,наличный,Брест,Приорбанк-AYFD-499,02-05-2007,13:23:14,неправильный ввод пин-кода,да,92.57
